Smiles,n_registros,standard_value_nM,ro5_violations,alogp,le,lle,n_smiles_originales,pIC50,active,strong_active
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,1,0.01,0.0,4.02,0.68,6.98,1,11.0,1,1
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,1,0.025,0.0,4.02,0.66,6.58,1,10.602059991327963,1,1
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,2,0.034,0.0,3.82,0.46499999999999997,6.720000000000001,1,10.468521082957745,1,1
CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,2,0.0365,0.0,4.6,0.435,5.88,1,10.437707135543526,1,1
C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,1,0.037,0.0,4.94,0.57,5.49,1,10.431798275933005,1,1
CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,2,0.0455,0.0,4.21,0.44,6.2,1,10.341988603342887,1,1
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,1,0.05,0.0,4.06,0.45,6.24,1,10.301029995663981,1,1
CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,2,0.051000000000000004,0.0,4.59,0.45499999999999996,5.83,1,10.292429823902063,1,1
COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,1,0.052,2.0,6.98,0.33,3.3,1,10.2839966563652,1,1
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,2,0.060000000000000005,0.0,4.6,0.425,5.75,1,10.221848749616356,1,1
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,3,0.064,2.0,5.36,0.34,4.83,1,10.193820026016112,1,1
COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,1,0.07,2.0,5.25,0.41,4.9,1,10.154901959985743,1,1
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,1,0.072,0.0,4.92,0.6,5.22,1,10.142667503568731,1,1
COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,2,0.07500000000000001,3.0,5.67,0.305,4.48,1,10.1249387366083,1,1
COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,4,0.075,3.0,5.45,0.305,4.685,1,10.1249387366083,1,1
CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,2,0.08,3.0,5.53,0.3,4.57,1,10.096910013008056,1,1
CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,3,0.085,1.0,4.32,0.31,5.75,1,10.070581074285707,1,1
CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,3,0.09,3.0,5.75,0.3,4.3,1,10.045757490560675,1,1
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5,0.091,0.0,3.6,0.65,6.44,1,10.040958607678906,1,1
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,4,0.095,3.0,5.7,0.3,4.33,1,10.022276394711152,1,1
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,5,0.097,2.0,5.54,0.37,4.47,1,10.013228265733755,1,1
COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,0.1,0.0,3.77,0.39,6.23,1,10.0,1,1
COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,0.1,1.0,3.2,0.37,6.8,1,10.0,1,1
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,1,0.1,0.0,4.46,0.41,5.54,1,10.0,1,1
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,3,0.1,0.0,3.72,0.72,6.28,1,10.0,1,1
CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,1,0.1,0.0,4.56,0.47,5.44,1,10.0,1,1
COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,0.1,1.0,4.35,0.37,5.65,1,10.0,1,1
COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,0.1,1.0,2.77,0.37,7.23,1,10.0,1,1
Nc1ccc2cncnc2c1,1,0.1,0.0,1.21,1.24,8.79,1,10.0,1,1
CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,1,0.1,2.0,5.8,0.34,4.2,1,10.0,1,1
CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3F)cc2)CC1,1,0.1,2.0,5.7,0.34,4.3,1,10.0,1,1
CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,1,0.1,0.0,3.56,0.41,6.44,1,10.0,1,1
CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,3,0.1,1.0,5.18,0.37,4.82,1,10.0,1,1
COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,2,0.10400000000000001,0.0,4.15,0.45499999999999996,5.945,1,9.98296666070122,1,1
COc1cc(N2CCC(N(C)CCN(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,2,0.105,3.0,5.7,0.305,4.32,1,9.978810700930062,1,1
COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,2,0.105,3.0,5.52,0.305,4.5,1,9.978810700930062,1,1
COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,2,0.105,3.0,5.78,0.295,4.205,1,9.978810700930062,1,1
COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,2,0.11,3.0,5.91,0.295,4.075,1,9.958607314841775,1,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,0.11,0.0,4.59,0.37,5.37,1,9.958607314841775,1,1
COc1cc(N2CCC(N3CC(F)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,2,0.115,3.0,5.22,0.3,4.725,1,9.939302159646388,1,1
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,5,0.116,1.0,4.89,0.38,5.05,1,9.935542010773082,1,1
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,6,0.12,0.0,3.3,0.68,6.62,1,9.920818753952375,1,1
COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,3,0.12,3.0,5.37,0.29,4.55,1,9.920818753952375,1,1
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,1,0.12,0.0,4.88,0.4,5.04,1,9.920818753952375,1,1
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5,0.13,0.0,3.57,0.68,6.32,1,9.886056647693163,1,1
