smiles_raw,smiles,valid_rdkit,in_training_set
Cc1ccc(C(=O)N2CC3CC2C3NC(=O)Cc2ccoc2)s1,Cc1ccc(C(=O)N2CC3CC2C3NC(=O)Cc2ccoc2)s1,True,False
Cc1cc(Br)c2c(c1)CN(C(=O)C1CCc3nc[nH]c3C1)CC2,Cc1cc(Br)c2c(c1)CN(C(=O)C1CCc3nc[nH]c3C1)CC2,True,False
Cc1ccc(-c2nc(CC(=O)N3CCN(C(=O)COc4ccc(Cl)cc4)CC3)cs2)cc1,Cc1ccc(-c2nc(CC(=O)N3CCN(C(=O)COc4ccc(Cl)cc4)CC3)cs2)cc1,True,False
CC(=O)Nc1ccc2ncnc(Nc3cnn(CCN4CCOCC4)c3)c2c1,CC(=O)Nc1ccc2ncnc(Nc3cnn(CCN4CCOCC4)c3)c2c1,True,False
C=CCCC(C)N1CCC2(CCN(C3COC3)C2)CC1,C=CCCC(C)N1CCC2(CC1)CCN(C1COC1)C2,True,False
N#Cc1cccc(OC2CCN(C3CCCC(OCc4ccccc4)C3)CC2)c1,N#Cc1cccc(OC2CCN(C3CCCC(OCc4ccccc4)C3)CC2)c1,True,False
CCN(C)CCN(C)Cc1ccc(C)c(Cl)c1,CCN(C)CCN(C)Cc1ccc(C)c(Cl)c1,True,False
Cc1nonc1CC(=O)N1CC2CCN(C(=O)Cc3cccnc3)CC21,Cc1nonc1CC(=O)N1CC2CCN(C(=O)Cc3cccnc3)CC21,True,False
O=C1OCCN1c1cccc2c1C=CCC2,O=C1OCCN1c1cccc2c1C=CCC2,True,False
CC(=O)Nc1ccc(Nc2ccnc(Nc3ccc(Cl)c(C#N)c3)n2)cc1,CC(=O)Nc1ccc(Nc2ccnc(Nc3ccc(Cl)c(C#N)c3)n2)cc1,True,False
COc1ccc(CNC(=O)N2CCOC3(CCOC3C)C2)cc1OC,COc1ccc(CNC(=O)N2CCOC3(CCOC3C)C2)cc1OC,True,False
O=C(NCc1c(Br)cncc1Br)Nc1cccc2c1CCN(C1CC1)S2(=O)=O,O=C(NCc1c(Br)cncc1Br)Nc1cccc2c1CCN(C1CC1)S2(=O)=O,True,False
CC(NC(=O)CCOc1ccccc1Cl)c1ccc2c(c1)CCC2,CC(NC(=O)CCOc1ccccc1Cl)c1ccc2c(c1)CCC2,True,False
C=CCCOCC(=O)N1CC(Nc2cc(C)nc(CC)n2)C(C)(C)C1,C=CCCOCC(=O)N1CC(Nc2cc(C)nc(CC)n2)C(C)(C)C1,True,False
CSc1ccc2c(c1)N(C(=O)c1ccc(F)c(F)c1)CC2c1c(OC2CCC3(CN(C(=O)OC(C)(C)C)C3)CCO2)ccn1S(=O)(=O)c1ccccc1,CSc1ccc2c(c1)N(C(=O)c1ccc(F)c(F)c1)CC2c1c(OC2CCC3(CCO2)CN(C(=O)OC(C)(C)C)C3)ccn1S(=O)(=O)c1ccccc1,True,False
Cc1nc(CN2CC(F)CC2CN(C)C(=O)c2cc3n(n2)CCO3)oc1C,Cc1nc(CN2CC(F)CC2CN(C)C(=O)c2cc3n(n2)CCO3)oc1C,True,False
C=CCOc1ccc(C2(F)CCN(S(=O)(=O)c3cccc(F)c3)CC2)cc1OC,C=CCOc1ccc(C2(F)CCN(S(=O)(=O)c3cccc(F)c3)CC2)cc1OC,True,False
CCC(=O)N1CCOC2(C1)CN(C(=O)C(C)(C)N1CCOCC1)C2,CCC(=O)N1CCOC2(C1)CN(C(=O)C(C)(C)N1CCOCC1)C2,True,False
Cc1nnc(N2CCC(OC(C)C)C2)c2cc3c(Cl)ncnc3n12,Cc1nnc(N2CCC(OC(C)C)C2)c2cc3c(Cl)ncnc3n12,True,False
O=C(O)c1ccc(CNCC(O)C(F)(F)F)cc1,O=C(O)c1ccc(CNCC(O)C(F)(F)F)cc1,True,False
Cc1cc(Br)cc(C)c1NC(=S)Nc1ccccc1C(N)=O,Cc1cc(Br)cc(C)c1NC(=S)Nc1ccccc1C(N)=O,True,False
CC(C)(C)NC(=O)Nc1ccc(-c2cnc(N3CCCC3)nc2OCc2cccc(F)c2)cc1,CC(C)(C)NC(=O)Nc1ccc(-c2cnc(N3CCCC3)nc2OCc2cccc(F)c2)cc1,True,False
NCc1cc(O)nc(-c2cnc(Nc3ccc(F)c(Cl)c3)nc2)n1,NCc1cc(O)nc(-c2cnc(Nc3ccc(F)c(Cl)c3)nc2)n1,True,False
CC(C)N(C)C(=O)c1ccc(NC(=O)c2cnn(C)c2C#N)cc1,CC(C)N(C)C(=O)c1ccc(NC(=O)c2cnn(C)c2C#N)cc1,True,False
Cc1cc2ncnc(-c3ccc4c(cnn4C(F)F)c3)c2cc1C#N,Cc1cc2ncnc(-c3ccc4c(cnn4C(F)F)c3)c2cc1C#N,True,False
C=CC(=O)N1CCC(C(=O)Nc2ccn(CCc3ccncc3)c(=O)c2)(C(N)=O)C1,C=CC(=O)N1CCC(C(N)=O)(C(=O)Nc2ccn(CCc3ccncc3)c(=O)c2)C1,True,False
Cc1ccc(OCC(=O)N2CCC(NC(=O)Cc3cccc(Cl)c3)CC2)cc1,Cc1ccc(OCC(=O)N2CCC(NC(=O)Cc3cccc(Cl)c3)CC2)cc1,True,False
Cc1ccccc1CC(=O)NC1CN(C(=O)c2cc3n(n2)CCC3)CC1O,Cc1ccccc1CC(=O)NC1CN(C(=O)c2cc3n(n2)CCC3)CC1O,True,False
Cc1ccc(-n2nc(-c3ccc(F)cc3)nc2C2=CC3CCC(C2)N3C)cc1,Cc1ccc(-n2nc(-c3ccc(F)cc3)nc2C2=CC3CCC(C2)N3C)cc1,True,False
COc1ccc(COc2cccc(F)c2CN2CCCCC2)cc1OCc1cccc(F)c1,COc1ccc(COc2cccc(F)c2CN2CCCCC2)cc1OCc1cccc(F)c1,True,False
CC1CN(c2nnc(COc3ccc(F)cc3)n2CC2CCCO2)Cc2ccccc21,CC1CN(c2nnc(COc3ccc(F)cc3)n2CC2CCCO2)Cc2ccccc21,True,False
O=[N+]([O-])c1cc(S(=O)(=O)NC2CC2c2ccc3ccccc3c2)ccc1NCc1ccc(N2CCOCC2)nc1,O=[N+]([O-])c1cc(S(=O)(=O)NC2CC2c2ccc3ccccc3c2)ccc1NCc1ccc(N2CCOCC2)nc1,True,False
