smiles,canonical_smiles,mol_wt,rdkit_logp,hbd,hba,tpsa,rot_bonds,rings,heavy_atoms,qed,ro5_violations,murcko_scaffold
Cc1ccc(C(=O)N2CC3CC2C3NC(=O)Cc2ccoc2)s1,Cc1ccc(C(=O)N2CC3CC2C3NC(=O)Cc2ccoc2)s1,330.40900000000005,2.2213199999999995,1,4,62.550000000000004,4,5,23,0.9348644234677399,0,O=C(Cc1ccoc1)NC1C2CC1N(C(=O)c1cccs1)C2
Cc1cc(Br)c2c(c1)CN(C(=O)C1CCc3nc[nH]c3C1)CC2,Cc1cc(Br)c2c(c1)CN(C(=O)C1CCc3nc[nH]c3C1)CC2,374.2820000000002,3.170420000000001,1,2,48.99,1,4,23,0.833757893614345,0,O=C(C1CCc2nc[nH]c2C1)N1CCc2ccccc2C1
Cc1ccc(-c2nc(CC(=O)N3CCN(C(=O)COc4ccc(Cl)cc4)CC3)cs2)cc1,Cc1ccc(-c2nc(CC(=O)N3CCN(C(=O)COc4ccc(Cl)cc4)CC3)cs2)cc1,469.99400000000014,4.064220000000003,0,5,62.74000000000001,6,4,32,0.5457399375974985,0,O=C(COc1ccccc1)N1CCN(C(=O)Cc2csc(-c3ccccc3)n2)CC1
CC(=O)Nc1ccc2ncnc(Nc3cnn(CCN4CCOCC4)c3)c2c1,CC(=O)Nc1ccc2ncnc(Nc3cnn(CCN4CCOCC4)c3)c2c1,381.4400000000002,1.8604999999999992,2,7,97.19999999999999,6,4,28,0.6725452799957354,0,c1ccc2c(Nc3cnn(CCN4CCOCC4)c3)ncnc2c1
C=CCCC(C)N1CCC2(CC1)CCN(C1COC1)C2,C=CCCC(C)N1CCC2(CC1)CCN(C1COC1)C2,278.44,2.527800000000001,0,3,15.71,5,3,20,0.7188162230179191,0,C1CC2(CCN1)CCN(C1COC1)C2
N#Cc1cccc(OC2CCN(C3CCCC(OCc4ccccc4)C3)CC2)c1,N#Cc1cccc(OC2CCN(C3CCCC(OCc4ccccc4)C3)CC2)c1,390.52700000000016,4.929480000000004,0,4,45.489999999999995,6,4,29,0.7015562266507537,0,c1ccc(COC2CCCC(N3CCC(Oc4ccccc4)CC3)C2)cc1
CCN(C)CCN(C)Cc1ccc(C)c(Cl)c1,CCN(C)CCN(C)Cc1ccc(C)c(Cl)c1,254.805,3.0319200000000013,0,2,6.48,6,1,17,0.7701080469755064,0,c1ccccc1
Cc1nonc1CC(=O)N1CC2CCN(C(=O)Cc3cccnc3)CC21,Cc1nonc1CC(=O)N1CC2CCN(C(=O)Cc3cccnc3)CC21,355.398,0.6175199999999994,0,6,92.43,4,4,26,0.7981538966745202,0,O=C(Cc1cccnc1)N1CCC2CN(C(=O)Cc3cnon3)C2C1
O=C1OCCN1c1cccc2c1C=CCC2,O=C1OCCN1c1cccc2c1C=CCC2,215.25199999999998,2.6026000000000007,0,2,29.54,1,3,16,0.7202581446495626,0,O=C1OCCN1c1cccc2c1C=CCC2
CC(=O)Nc1ccc(Nc2ccnc(Nc3ccc(Cl)c(C#N)c3)n2)cc1,CC(=O)Nc1ccc(Nc2ccnc(Nc3ccc(Cl)c(C#N)c3)n2)cc1,378.8230000000001,4.447280000000002,3,6,102.73,5,3,27,0.6057908671018032,0,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
COc1ccc(CNC(=O)N2CCOC3(CCOC3C)C2)cc1OC,COc1ccc(CNC(=O)N2CCOC3(CCOC3C)C2)cc1OC,350.4150000000001,1.7931999999999995,1,5,69.26,4,3,25,0.8966188559691213,0,O=C(NCc1ccccc1)N1CCOC2(CCOC2)C1
O=C(NCc1c(Br)cncc1Br)Nc1cccc2c1CCN(C1CC1)S2(=O)=O,O=C(NCc1c(Br)cncc1Br)Nc1cccc2c1CCN(C1CC1)S2(=O)=O,530.2420000000003,3.637500000000002,2,4,91.4,4,4,28,0.6321841326018056,1,O=C(NCc1ccncc1)Nc1cccc2c1CCN(C1CC1)S2(=O)=O
CC(NC(=O)CCOc1ccccc1Cl)c1ccc2c(c1)CCC2,CC(NC(=O)CCOc1ccccc1Cl)c1ccc2c(c1)CCC2,343.8540000000002,4.475000000000004,1,2,38.33,6,3,24,0.8396561757068732,0,O=C(CCOc1ccccc1)NCc1ccc2c(c1)CCC2
